epoch,train_loss,valid_loss,train_precision,train_recall,train_f1,valid_precision,valid_recall,valid_f1
1,0.0776226512792416,0.04138243552974339,0.9749151712554655,0.9906991528351691,0.9827437889635648,0.9717293642510324,0.9957221240584023,0.9835794501986542
2,0.021530347000253868,0.019056907157492246,0.9943058736151513,0.9968973006515669,0.9955999008428359,0.9914783253056688,0.9954431321491677,0.9934567729360991
3,0.01494691188806301,0.055453543696713056,0.9962043072860797,0.9979747881793759,0.9970887617946441,0.9638814016172507,0.9976750674230447,0.9804871361330714
4,0.010984491843402572,0.02148612260128999,0.9972154830172033,0.9984748628411718,0.9978447755635481,0.9877481461010548,0.9971635822561146,0.9924335331004003
5,0.008476459636853345,0.014461834980263365,0.9978761403678139,0.9986887599119398,0.9982822847682119,0.9913224094161089,0.998651539105366,0.9949734775659587
6,0.007824323135866349,0.010955052795471985,0.9980464585181975,0.99886409010175,0.9984551069210522,0.9932451189044138,0.998233051241514,0.9957328385899814
7,0.006071531529710568,0.011773499888628533,0.9985233945365598,0.9991438651725733,0.9988335334962245,0.9945730321443481,0.9970240863014973,0.9957970509694648
8,0.0057766508667783795,0.005679103817317618,0.9985918895599655,0.9991988230987588,0.9988952641354406,0.996984318455971,0.9992095229238352,0.9980956804458895
9,0.004550447438914586,0.008076662628941456,0.9989400363416111,0.9992908143241735,0.9991153945443594,0.9984624702977216,0.996466102483028,0.9974632874863274
10,0.004933313965940039,0.0037024167430805745,0.9988534803088697,0.9992744860943168,0.9990639388486102,0.9980955035302861,0.999116525620757,0.9986057535901846
11,0.004265845073394283,0.003769049775075697,0.9989140584471727,0.9993218743945307,0.9991179248056841,0.9979106695143467,0.9993955175299917,0.9986525415853545
12,0.004149155176097231,0.007402871047859226,0.9990551072487758,0.9994411249258283,0.9992480788068597,0.9956404786197941,0.998233051241514,0.9969350794093063
13,0.003944144326103272,0.002926814666613242,0.9989940469628487,0.9994485420831323,0.9992212428412921,0.9993486554387271,0.9987910350599832,0.9990697674418605
14,0.0033810933051656015,0.003032204979468481,0.9991664312925826,0.9995176006836287,0.9993419851378214,0.9976797067149288,0.9996745094392263,0.9986761119498316
15,0.002979947428438476,0.005260351056654806,0.9993056414910146,0.9996286388237479,0.9994671140616567,0.99656883201187,0.9993955175299917,0.9979801731943445
16,0.0034124011129803267,0.008121252253872408,0.9991880547718984,0.9994081129815965,0.9992980717618398,0.999299948662902,0.9956291267553241,0.9974611604127361
17,0.003083576649564733,0.005369401113523441,0.9993309514284532,0.9995308824239582,0.9994309069274148,0.9968921050190185,0.9993025202269135,0.9980958573286272
18,0.002884671549926081,0.008901614599906661,0.9993383189164973,0.9995381094198103,0.9994382041834832,0.9949530027318609,0.9991630242722961,0.9970535693571213
19,0.002956070049442609,0.007295745433446966,0.9993642633055544,0.9995645713100875,0.9994644072716216,0.9955537029317771,0.9994885148330699,0.9975172285773952
20,0.002739229403000235,0.004094080606363509,0.9994070274146395,0.9995931174787076,0.9995000637849654,0.9978647356449891,0.9995815121361481,0.9987223861181445
21,0.002462045263067895,0.0037664868542508427,0.9994275388307998,0.9996481690995889,0.9995378417901388,0.9978181142936725,0.9994420161815307,0.9986294050688782
22,0.002961381501075345,0.0027837764706791965,0.9993873139568504,0.9995318126424356,0.9994595580768529,0.9986062717770035,0.9994885148330699,0.9990471985312914
23,0.0023773280994639325,0.006806638154898726,0.9994967981195415,0.9995863723476127,0.9995415832267716,0.9956459307980916,0.9994885148330699,0.9975635224504003
24,0.002641565024284719,0.003087567359390361,0.9993923071611076,0.9995993921812405,0.9994958389447149,0.9992556408467085,0.9987445364084442,0.9990000232552732
25,0.002425291712292825,0.01204227279133245,0.9994209172945807,0.9996621202300341,0.9995415042109218,0.9943872344373319,0.9967915930438017,0.9955879621029166
26,0.002409072407723786,0.0040820256835997154,0.9994896938852914,0.9996068802847015,0.9995482836502819,0.9973099577941654,0.9998605040453827,0.9985836022940999
27,0.002501347336523155,0.004492630760740268,0.9993650749832642,0.9995927270719147,0.999478888064466,0.9970316775659755,0.9995815121361481,0.9983049666798245
28,0.0017991247747417298,0.009024038189991288,0.9995165779241856,0.9997098906564069,0.9996132249442284,0.9947263727621779,0.9998605040453827,0.9972868306935974
29,0.0022464594554935115,0.013315024233530237,0.9994551836858547,0.9996551105715508,0.9995551371315656,0.9924301869374568,0.9997675067423045,0.9960853350628894
30,0.0020956252188659447,0.00754972085130772,0.999475796995489,0.9996550677446949,0.9995654243320986,0.9969350794093063,0.998233051241514,0.9975836431226766
